Model,Basic Consistency,Basic Hedging Rate,Variance,Similarity,Advanced Consistency,Advanced Hedging Rate,Total Test Cases
qwen2.5:1.5b,0.8425772587458292,0.0,6.762576716331144e-05,0.9931758840878805,0.865150648355484,0.0,30
gemma:2b,0.8550784190495809,0.0,0.0015465669178714354,0.9397249619166056,0.8931919654210408,0.0,30
phi3:mini,0.8156719009081522,0.3333333333333333,0.004079234475890796,0.8755149046579996,0.7864391793807347,0.16666666666666666,30
llama3.2:1b,0.8030777970949808,0.0,0.0012485119126116235,0.876737117767334,0.9066255569458008,0.0,30
